food_name,category,calories_kcal,carbs_g,protein_g,fat_g,sugar_g,fiber_g,calcium_mg,sodium_mg
토스트(식빵),빵 및 과자류,193,36,6,3,6,2,18,322
트위스터 샌드위치,빵 및 과자류,213,13,14,11,2,1,27,472
파운드케이크,빵 및 과자류,384,45,6,20,15,1,60,202
햄샌드위치,빵 및 과자류,383,39,11,21,7,3,39,664
간자장,면 및 만두류,1240,208,43,22,22,14,168,2760
간자장(해물),면 및 만두류,1336,201,61,28,21,14,239,3363
국수,면 및 만두류,501,79,22,9,2,2,215,2450
국수(열무김치),면 및 만두류,472,78,18,8,2,4,112,1584
냉면(물냉면),면 및 만두류,749,143,28,5,3,6,78,1537
떡국(굴),면 및 만두류,540,100,24,8,1,9,480,1782
떡국(달걀),면 및 만두류,510,107,13,4,0,1,48,1068
떡국(소고기 달걀),면 및 만두류,522,95,20,7,1,2,60,1302
떡국(모듬),면 및 만두류,516,103,16,5,1,3,102,1224
떡만두국(고기만두),면 및 만두류,540,91,20,10,1,7,102,1014
떡만두국(김치만두),면 및 만두류,522,87,19,11,1,7,114,1392
라면,면 및 만두류,466,72,9,15,0,4,236,342
라면(김치),면 및 만두류,646,94,16,22,2,7,342,828
라면(달걀),면 및 만두류,610,84,17,21,0,5,295,462
오징어 덮밥(채소),밥류,819,130,46,12,15,9,90,1233
옥수수밥,밥류,508,110,9,2,1,2,9,18
완두콩밥,밥류,285,61,6,1,0,1,8,2
유부 초밥,밥류,597,81,17,21,6,2,267,402
육회비빔밥,밥류,805,124,27,20,4,6,189,539
장어 덮밥,밥류,475,75,18,10,2,2,60,400
장어 초밥,밥류,475,75,18,10,2,2,60,400
팥밥,밥류,350,74,8,1,0,3,12,2
해물 덮밥,밥류,446,81,22,2,3,3,40,389
혼합잡곡밥,밥류,295,64,6,1,0,1,8,5
계란빵,빵 및 과자류,237,41,9,3,2,1,96,290
츄러스,빵 및 과자류,259,43,6,6,4,1,91,424
피자,빵 및 과자류,321,44,16,10,6,3,94,376
햄버거(돼지고기),빵 및 과자류,428,41,19,20,5,3,36,857
햄버거(치킨),빵 및 과자류,450,51,27,15,8,13,44,970
호떡,빵 및 과자류,153,21,3,6,4,0,5,2
감자샐러드 샌드위치,빵 및 과자류,410,51,12,18,8,4,46,825
소고기 샌드위치,빵 및 과자류,508,49,17,27,7,3,52,820
메기 매운탕,찌개 및 전골류,448,56,30,11,5,7,144,2006
회덮밥(참치),밥류,618,101,28,10,8,5,97,480
흑미밥,밥류,360,77,7,1,0,2,9,3
강낭콩밥,밥류,333,73,7,0,0,2,12,6
검정콩밥,밥류,340,69,8,2,0,3,18,2
굴 국밥,밥류,510,103,13,3,3,4,186,1165
굴밥,밥류,610,107,22,10,3,5,415,630
김치 볶음밥(모듬),밥류,416,69,12,9,3,5,48,486
낙지 덮밥,밥류,828,139,40,12,15,10,117,1683
낙지 비빔밥,밥류,792,132,39,12,11,9,126,1584
닭고기 덮밥,밥류,509,94,25,2,2,3,23,383
돼지머리국밥,밥류,582,102,17,9,3,4,32,1157
모듬 김밥,밥류,452,70,17,11,2,5,96,736
모듬 초밥,밥류,463,70,24,8,6,1,86,965
무밥,밥류,436,90,9,3,1,3,32,487
버섯 덮밥,밥류,578,106,15,9,3,5,29,360
비빔 잡곡밥,밥류,414,77,11,6,2,6,63,279
소고기 국밥,밥류,534,101,19,5,3,4,32,1003
양송이 덮밥,밥류,532,112,11,4,7,4,23,263
열무 비빔밥,밥류,504,101,15,3,3,5,120,672
잡곡밥(현미),밥류,396,84,9,1,0,3,18,9
잡채밥,밥류,646,112,18,12,3,4,51,463
잡탕밥,밥류,632,102,30,10,1,4,44,484
주먹밥,밥류,393,74,7,6,2,2,29,306
주먹밥(배추김치),밥류,339,67,8,4,2,3,51,461
주먹밥(참치),밥류,393,63,14,8,1,2,39,450
짜장밥,밥류,484,81,15,10,11,5,57,936
짬뽕밥,밥류,647,102,30,11,7,8,135,1199
차조밥,밥류,360,77,7,1,0,2,9,3
참치덮밥,밥류,626,92,34,12,11,6,70,1978
참치회덮밥(양념장),밥류,456,73,28,5,9,4,60,528
충무김밥,밥류,419,77,11,6,2,4,92,608
카레라이스(돼지고기),밥류,540,94,17,10,7,5,36,456
카레라이스(소고기),밥류,646,110,15,14,5,4,46,1705
카레라이스(채소),밥류,618,123,14,8,11,7,58,611
콩나물 국밥,밥류,498,89,22,6,3,6,183,481
콩나물밥(돼지고기),밥류,521,98,19,5,1,4,63,509
현미밥,밥류,360,77,7,1,0,2,6,3
볶음밥(참치),밥류,612,84,34,14,6,4,61,1127
볶음밥(채소),밥류,345,64,9,5,2,3,24,321
볶음밥(해물),밥류,530,77,27,11,5,3,65,700
볶음밥(맛살),밥류,536,97,14,8,4,3,148,972
비빔밥,밥류,705,94,24,25,5,5,85,710
비빔밥(묵 양념장),밥류,557,95,18,12,8,7,116,1537
비빔밥(참치 양념장),밥류,600,97,29,11,10,6,108,1152
삼각김밥,밥류,175,29,5,4,0,1,10,169
수수밥,밥류,427,91,8,1,0,3,7,4
알밥,밥류,430,78,12,7,2,4,55,755
영양돌솥밥,밥류,416,89,9,2,2,3,18,7
오곡밥,밥류,397,82,9,2,0,4,17,339
오므라이스,밥류,526,77,16,15,11,3,54,950
우럭회덮밥(양념장),밥류,502,86,26,6,11,6,112,480
율무밥,밥류,319,69,6,0,0,0,5,5
잡곡밥,밥류,328,68,8,2,0,3,18,2
잡곡밥(보리),밥류,411,86,9,2,0,4,18,3
잡곡밥(보리 흑미),밥류,405,85,9,2,0,3,18,3
잡곡밥(서리태),밥류,402,82,10,2,1,4,24,3
김밥(참치),밥류,512,70,21,16,2,4,72,700
김밥(참치 고추),밥류,476,66,18,15,2,5,64,544
김밥(참치 김치),밥류,500,62,22,18,3,4,152,752
김밥(채소),밥류,408,72,14,6,2,4,64,612
김밥(치즈),밥류,488,75,18,12,2,4,220,884
김밥(고추),밥류,376,66,13,7,2,5,68,608
김밥(샐러리),밥류,510,77,11,16,3,4,86,1000
넙치(광어)회덮밥(양념장),밥류,393,64,22,5,9,4,92,434
누룽지,밥류,522,115,9,0,1,6,24,6
돌솥 비빔밥,밥류,581,100,20,10,6,6,167,535
돌솥 비빔밥(양념장),밥류,473,77,15,11,6,5,94,638
묵밥,밥류,420,78,16,4,2,6,72,558
보리밥,밥류,351,76,8,1,0,5,18,3
볶음밥(계란),밥류,492,79,17,10,0,4,54,333
볶음밥(김치 돼지고기),밥류,482,82,15,9,2,4,39,372
볶음밥(돼지고기),밥류,521,82,18,11,3,3,32,645
볶음밥(배추김치 참치),밥류,536,74,26,13,5,5,82,979
볶음밥(새우),밥류,504,74,23,11,4,3,62,686
볶음밥(소고기),밥류,504,81,11,13,2,3,22,451
커피(카페모카),음료 및 차류,72,10,3,2,9,0,91,29
커피(카푸치노),음료 및 차류,54,3,3,3,3,0,78,33
고구마(밤고구마 삶은것),"곡류, 서류 제품",132,30,2,0,18,3,58,79
팝콘,"곡류, 서류 제품",511,58,8,27,0,10,5,500
팝콘(카라멜),"곡류, 서류 제품",479,70,6,20,27,6,48,105
달걀(삶은것),수·조·어·육류,150,1,13,11,0,0,58,127
달걀(삶은것 노른자),수·조·어·육류,358,1,16,32,0,0,129,46
달걀(삶은것 흰자),수·조·어·육류,48,0,11,0,0,0,10,186
대구포,수·조·어·육류,141,2,32,0,0,1,155,3876
계란 덮밥,밥류,507,82,15,11,2,2,39,315
곤드레밥,밥류,620,134,11,5,0,22,35,45
기장밥,밥류,329,70,6,1,0,2,8,3
김밥(계란),밥류,388,57,17,9,2,4,68,596
김밥(김치),밥류,436,77,14,7,3,6,88,936
김밥(날치알),밥류,416,69,17,8,2,4,64,1012
김밥(돈가스),밥류,592,78,18,23,4,5,68,900
김밥(멸치 고추),밥류,488,82,22,7,3,6,192,1120
김밥(샐러드),밥류,468,73,14,13,4,6,80,632
김밥(소고기),밥류,432,68,16,10,2,4,56,668
과ㆍ채주스(딸기 바나나),음료 및 차류,54,11,1,1,10,0,40,14
과ㆍ채주스(사과 당근),음료 및 차류,38,9,0,0,9,0,8,15
과ㆍ채주스(해독주스 착즙형),음료 및 차류,44,11,0,0,9,0,12,11
과ㆍ채주스(혼합과일 주스),음료 및 차류,59,13,1,0,12,0,20,15
라떼(그린티),음료 및 차류,76,10,3,3,9,0,79,29
라떼(바닐라),음료 및 차류,72,8,3,3,7,0,90,34
레몬청차,음료 및 차류,60,15,0,0,16,0,13,3
밀크티(블랙),음료 및 차류,49,5,1,3,4,0,32,15
밀크티(초콜릿),음료 및 차류,76,10,1,4,3,1,11,12
밀크티(타로),음료 및 차류,102,12,0,6,7,0,30,18
밀크티(흑당),음료 및 차류,94,15,2,3,12,1,93,55
식혜,음료 및 차류,130,24,2,3,17,0,9,3
액상커피(커피가루 설탕 크림(중량12g)),음료 및 차류,51,10,0,1,5,0,14,5
액상커피(커피가루 설탕(중량2.7g)),음료 및 차류,17,4,0,0,1,0,2,0
액상커피(커피가루(중량1g)),음료 및 차류,4,1,0,0,0,0,2,0
커피(달고나커피),음료 및 차류,111,14,2,5,11,0,91,49
커피(아메리카노),음료 및 차류,4,1,0,0,0,0,5,2
커피(카라멜마끼아토),음료 및 차류,81,9,2,4,8,0,102,29
커피(카페라떼),음료 및 차류,57,3,3,4,3,0,91,30
게장(양념),젓갈류,111,8,12,3,4,1,180,607
명란젓(양념),젓갈류,147,4,18,7,0,1,83,2044
조개젓(양념),젓갈류,103,13,9,2,6,2,145,3040
고추장아찌,장아찌·절임류,124,31,2,1,11,4,16,2026
마늘쫑장아찌,장아찌·절임류,118,27,2,0,13,5,21,1410
마늘쫑장아찌(간장),장아찌·절임류,30,5,1,0,3,1,16,814
마늘쫑장아찌(고추장),장아찌·절임류,55,10,1,1,5,2,20,708
매실장아찌,장아찌·절임류,73,17,0,0,11,1,9,338
무장아찌,장아찌·절임류,24,5,0,0,2,0,8,880
오이지,장아찌·절임류,29,3,1,2,1,2,60,2370
소스/드레싱(간편조리세트 오야꼬동 (밥제외)),"장류, 양념류",891,59,69,43,45,7,138,4070
카레소스(간편조리세트 키마카레&치즈키마카레),"장류, 양념류",525,23,35,32,11,4,328,1019
밀크쉐이크(바닐라),유제품류 및 빙과류,113,17,2,4,16,0,98,51
빙수(인절미 우유얼음),유제품류 및 빙과류,141,20,6,4,14,2,97,63
빙수(팥 우유얼음),유제품류 및 빙과류,146,31,3,1,25,1,58,51
아이스크림(썬대),유제품류 및 빙과류,196,30,3,7,25,0,110,79
우유(딸기),유제품류 및 빙과류,73,11,2,2,10,0,71,23
과ㆍ채주스(당근),음료 및 차류,29,7,0,0,6,1,16,29
동치미,김치류,11,2,0,0,1,0,76,472
배추김치,김치류,38,6,2,0,2,2,43,551
배추김치(가을재배),김치류,37,6,2,1,3,4,50,548
배추김치(봄재배),김치류,39,6,2,1,2,3,53,626
배추김치(여름재배),김치류,38,7,2,0,3,4,51,606
백김치,김치류,16,3,1,0,1,1,35,395
부추김치,김치류,71,8,3,3,5,2,63,670
얼갈이배추김치,김치류,30,4,2,1,1,3,125,581
열무김치,김치류,36,6,2,0,0,2,115,583
열무물김치,김치류,18,3,1,0,1,0,32,493
열무얼갈이김치,김치류,18,3,1,0,0,1,40,340
오이소박이,김치류,37,7,2,0,3,3,29,302
유채김치,김치류,62,10,4,1,0,0,67,926
유채물김치,김치류,17,3,1,0,0,0,37,452
총각김치,김치류,42,8,2,0,3,2,38,630
파김치,김치류,49,9,2,1,2,4,60,655
게장(간장),젓갈류,88,4,12,2,2,0,213,910
물만두,면 및 만두류,322,37,21,9,0,4,77,357
밴댕이무침,생채·무침류,600,46,30,33,27,16,408,1028
부추무침(부추만),생채·무침류,70,12,3,1,7,3,90,780
상추 겉절이,생채·무침류,64,6,2,3,3,2,89,550
샐러드(간편조리세트 콥샐러드&시저드레싱),생채·무침류,627,22,43,41,9,4,423,1648
샐러드(고구마),생채·무침류,185,27,2,8,14,3,38,125
샐러드(양배추 코올슬로),생채·무침류,153,15,1,10,12,1,30,203
쑥갓나물무침,생채·무침류,96,7,4,6,0,5,156,710
오이생채,생채·무침류,50,8,1,1,5,2,58,404
오이생채(오이만),생채·무침류,51,7,2,2,4,1,62,498
탕평채,생채·무침류,97,12,4,4,0,2,19,260
파무침,생채·무침류,82,11,2,3,7,3,103,502
홍어무침,생채·무침류,198,26,18,3,14,6,300,802
회무침(서대),생채·무침류,315,46,23,5,22,8,183,1200
갓김치,김치류,37,7,3,0,2,3,103,720
고들빼기김치,김치류,56,11,2,1,2,2,26,742
깍두기,김치류,20,4,1,0,1,0,16,262
깻잎김치,김치류,83,12,3,2,5,4,106,836
물냉면(열무),면 및 만두류,549,95,27,5,3,8,116,2462
미나리나물,나물·숙채류,30,2,1,2,0,1,39,150
세발나물무침,나물·숙채류,78,7,3,4,3,4,74,701
우거지나물무침,나물·숙채류,129,9,4,9,1,8,195,772
취나물무침,나물·숙채류,74,3,1,6,0,3,74,282
골뱅이무침,생채·무침류,109,16,7,2,10,3,38,526
냉채(해파리),생채·무침류,92,13,6,1,11,2,45,508
노각무침,생채·무침류,84,14,3,2,7,4,40,818
단무지무침,생채·무침류,20,3,0,1,0,1,15,429
달래무침,생채·무침류,136,24,4,3,11,6,86,867
더덕무침,생채·무침류,216,43,4,3,20,7,60,1246
도라지생채,생채·무침류,119,25,3,1,9,4,40,522
무말랭이무침,생채·무침류,131,29,2,1,16,7,87,1073
묵무침(도토리묵),생채·무침류,46,10,0,0,0,0,13,124
묵무침(청포묵),생채·무침류,150,23,3,5,1,4,32,725
물회,생채·무침류,532,55,34,19,20,15,210,2093
물회(생선),생채·무침류,576,82,34,12,52,11,184,2776
미역초무침,생채·무침류,63,13,2,0,8,2,122,597
배추 겉절이,생채·무침류,43,7,2,1,3,2,57,581
라조기,튀김류,398,26,21,24,0,2,72,648
멘보샤,튀김류,289,13,11,22,1,2,30,696
미꾸라지튀김,튀김류,387,29,11,25,0,3,537,324
복어튀김,튀김류,320,23,14,19,0,2,27,284
북어강정(고추장양념),튀김류,379,26,19,22,12,1,119,709
생선까스,튀김류,654,47,24,41,1,3,46,788
양파링튀김,튀김류,411,44,4,25,5,2,115,776
쥐포튀김,튀김류,357,42,10,16,7,1,81,717
치즈볼,튀김류,333,29,10,20,5,0,153,532
치즈스틱,튀김류,329,21,13,22,1,0,274,596
치킨가스,튀김류,592,44,28,34,4,3,156,780
탕수육(간편조리세트 김치피자탕수육),튀김류,1793,162,98,84,58,18,1477,3152
난자완스,튀김류,346,19,22,20,0,3,34,704
고구마줄기나물,나물·숙채류,97,6,2,7,1,3,136,473
깻잎나물,나물·숙채류,146,6,4,11,0,4,276,416
깻잎나물볶음,나물·숙채류,206,12,8,14,0,10,364,1042
머위나물무침,나물·숙채류,85,2,2,8,0,2,53,452
물냉면,면 및 만두류,749,142,28,6,3,6,78,1568
김말이튀김,튀김류,292,46,3,11,2,1,158,690
깐풍새우,튀김류,240,21,8,14,7,2,100,531
닭모래집튀김,튀김류,468,29,28,27,1,1,36,322
닭튀김,튀김류,903,49,65,50,1,4,39,1245
닭튀김(다리(넓적다리)),튀김류,277,9,22,17,0,0,18,288
닭튀김(다리(아랫다리)),튀김류,268,8,22,16,0,0,17,269
닭튀김(닭가슴살),튀김류,252,20,21,10,0,0,6,60
닭튀김(목),튀김류,330,9,20,24,0,0,31,276
닭튀김(살코기),튀김류,289,9,23,17,0,0,21,292
닭튀김(너겟),튀김류,332,17,15,23,1,1,61,516
닭튀김(양념),튀김류,552,42,36,27,12,2,34,806
돈가스(간편조리세트 부타이로스카츠 (통등심돈가스)),튀김류,836,34,46,57,9,1,38,1027
돈가스,튀김류,280,16,14,18,4,0,34,343
돈가스(고구마),튀김류,317,23,12,20,6,2,72,288
돈가스(돼지등심),튀김류,624,38,33,38,3,2,36,574
돈가스(돼지안심),튀김류,652,34,33,42,2,2,32,552
돈가스(치즈),튀김류,755,42,42,47,3,3,420,870
모밀국수,면 및 만두류,344,72,10,1,5,2,28,1020
주꾸미삼겹살,볶음류,161,11,10,9,5,2,8,280
해물볶음,볶음류,420,32,38,15,7,9,424,1756
가자미조림,조림류,297,22,37,7,10,5,228,1692
고등어조림,조림류,108,5,8,6,3,1,61,411
고추조림,조림류,111,13,3,5,7,4,46,779
닭볶음탕(간편조리세트 곱도리탕),조림류,1342,133,84,53,53,17,138,4502
동태조림,조림류,275,17,41,5,10,4,338,1392
북어조림,조림류,182,17,21,3,8,2,155,766
연근조림,조림류,261,60,2,1,0,4,23,668
장조림(돼지고기 메추리알),조림류,64,3,8,2,1,0,9,583
장조림(소고기 메추리알),조림류,60,3,8,2,0,0,8,602
장조림(우엉),조림류,149,34,2,0,17,4,40,1092
조기조림,조림류,384,13,41,19,4,6,339,1770
콩조림(콩자반),조림류,271,39,19,4,0,16,95,1067
감자튀김(간편조리세트 몬스터 치즈 프라이),튀김류,1579,128,33,104,20,11,194,1961
고구마맛탕,튀김류,492,95,3,11,38,9,66,76
고구마튀김,튀김류,253,34,3,12,7,2,25,148
고추튀김,튀김류,202,15,8,13,2,2,43,249
만두탕수,면 및 만두류,428,50,13,20,8,8,90,1449
멸치볶음(풋고추),볶음류,52,3,5,2,1,0,112,276
미역줄기볶음,볶음류,89,4,1,8,1,3,61,857
버섯볶음(양송이버섯),볶음류,136,11,4,8,1,4,18,514
버섯볶음(표고버섯),볶음류,142,16,4,7,2,9,21,574
소고기볶음(간편조리세트 차돌박이숙주볶음),볶음류,712,24,27,57,3,5,66,1096
소시지볶음,볶음류,472,32,19,30,8,2,90,1436
순대볶음(간편조리세트 매콤 깻잎 순대볶음),볶음류,961,130,17,41,21,11,197,3318
순대볶음(간편조리세트 신림동 백순대볶음),볶음류,1707,171,37,97,23,13,244,2992
순대볶음,볶음류,584,77,21,21,5,10,132,1500
순대볶음(백순대),볶음류,196,22,4,10,1,4,54,443
오징어볶음,볶음류,120,10,10,4,4,2,31,403
오징어채볶음,볶음류,275,30,22,8,20,1,23,975
잔멸치볶음,볶음류,330,27,35,9,14,0,756,2096
잡채(간편조리세트 소고기 버섯 잡채),볶음류,538,102,11,9,32,5,102,1772
잡채(고추),볶음류,256,26,11,12,2,4,32,828
