food_name,category,calories_kcal,carbs_g,protein_g,fat_g,fiber_g,sodium_mg,cluster
토스트(식빵),빵 및 과자류,193,36,6,3,2,322,3
트위스터 샌드위치,빵 및 과자류,213,13,14,11,1,472,0
파운드케이크,빵 및 과자류,384,45,6,20,1,202,0
햄샌드위치,빵 및 과자류,383,39,11,21,3,664,0
간자장,면 및 만두류,1240,208,43,22,14,2760,5
간자장(해물),면 및 만두류,1336,201,61,28,14,3363,5
국수,면 및 만두류,501,79,22,9,2,2450,2
국수(열무김치),면 및 만두류,472,78,18,8,4,1584,2
냉면(물냉면),면 및 만두류,749,143,28,5,6,1537,5
떡국(굴),면 및 만두류,540,100,24,8,9,1782,2
떡국(달걀),면 및 만두류,510,107,13,4,1,1068,2
떡국(소고기 달걀),면 및 만두류,522,95,20,7,2,1302,2
떡국(모듬),면 및 만두류,516,103,16,5,3,1224,2
떡만두국(고기만두),면 및 만두류,540,91,20,10,7,1014,2
떡만두국(김치만두),면 및 만두류,522,87,19,11,7,1392,2
라면,면 및 만두류,466,72,9,15,4,342,2
라면(김치),면 및 만두류,646,94,16,22,7,828,2
라면(달걀),면 및 만두류,610,84,17,21,5,462,2
오징어 덮밥(채소),밥류,819,130,46,12,9,1233,5
옥수수밥,밥류,508,110,9,2,2,18,2
완두콩밥,밥류,285,61,6,1,1,2,2
유부 초밥,밥류,597,81,17,21,2,402,2
육회비빔밥,밥류,805,124,27,20,6,539,5
장어 덮밥,밥류,475,75,18,10,2,400,2
장어 초밥,밥류,475,75,18,10,2,400,2
팥밥,밥류,350,74,8,1,3,2,2
해물 덮밥,밥류,446,81,22,2,3,389,2
혼합잡곡밥,밥류,295,64,6,1,1,5,2
계란빵,빵 및 과자류,237,41,9,3,1,290,3
츄러스,빵 및 과자류,259,43,6,6,1,424,3
피자,빵 및 과자류,321,44,16,10,3,376,0
햄버거(돼지고기),빵 및 과자류,428,41,19,20,3,857,0
햄버거(치킨),빵 및 과자류,450,51,27,15,13,970,0
호떡,빵 및 과자류,153,21,3,6,0,2,3
감자샐러드 샌드위치,빵 및 과자류,410,51,12,18,4,825,2
소고기 샌드위치,빵 및 과자류,508,49,17,27,3,820,0
메기 매운탕,찌개 및 전골류,448,56,30,11,7,2006,2
회덮밥(참치),밥류,618,101,28,10,5,480,2
흑미밥,밥류,360,77,7,1,2,3,2
강낭콩밥,밥류,333,73,7,0,2,6,2
검정콩밥,밥류,340,69,8,2,3,2,2
굴 국밥,밥류,510,103,13,3,4,1165,2
굴밥,밥류,610,107,22,10,5,630,2
김치 볶음밥(모듬),밥류,416,69,12,9,5,486,2
낙지 덮밥,밥류,828,139,40,12,10,1683,5
낙지 비빔밥,밥류,792,132,39,12,9,1584,5
닭고기 덮밥,밥류,509,94,25,2,3,383,2
돼지머리국밥,밥류,582,102,17,9,4,1157,2
모듬 김밥,밥류,452,70,17,11,5,736,2
모듬 초밥,밥류,463,70,24,8,1,965,2
무밥,밥류,436,90,9,3,3,487,2
버섯 덮밥,밥류,578,106,15,9,5,360,2
비빔 잡곡밥,밥류,414,77,11,6,6,279,2
소고기 국밥,밥류,534,101,19,5,4,1003,2
양송이 덮밥,밥류,532,112,11,4,4,263,2
열무 비빔밥,밥류,504,101,15,3,5,672,2
잡곡밥(현미),밥류,396,84,9,1,3,9,2
잡채밥,밥류,646,112,18,12,4,463,2
잡탕밥,밥류,632,102,30,10,4,484,2
주먹밥,밥류,393,74,7,6,2,306,2
주먹밥(배추김치),밥류,339,67,8,4,3,461,2
주먹밥(참치),밥류,393,63,14,8,2,450,2
짜장밥,밥류,484,81,15,10,5,936,2
짬뽕밥,밥류,647,102,30,11,8,1199,2
차조밥,밥류,360,77,7,1,2,3,2
참치덮밥,밥류,626,92,34,12,6,1978,2
참치회덮밥(양념장),밥류,456,73,28,5,4,528,2
충무김밥,밥류,419,77,11,6,4,608,2
카레라이스(돼지고기),밥류,540,94,17,10,5,456,2
카레라이스(소고기),밥류,646,110,15,14,4,1705,2
카레라이스(채소),밥류,618,123,14,8,7,611,2
콩나물 국밥,밥류,498,89,22,6,6,481,2
콩나물밥(돼지고기),밥류,521,98,19,5,4,509,2
현미밥,밥류,360,77,7,1,2,3,2
볶음밥(참치),밥류,612,84,34,14,4,1127,2
볶음밥(채소),밥류,345,64,9,5,3,321,2
볶음밥(해물),밥류,530,77,27,11,3,700,2
볶음밥(맛살),밥류,536,97,14,8,3,972,2
비빔밥,밥류,705,94,24,25,5,710,2
비빔밥(묵 양념장),밥류,557,95,18,12,7,1537,2
비빔밥(참치 양념장),밥류,600,97,29,11,6,1152,2
삼각김밥,밥류,175,29,5,4,1,169,3
수수밥,밥류,427,91,8,1,3,4,2
알밥,밥류,430,78,12,7,4,755,2
영양돌솥밥,밥류,416,89,9,2,3,7,2
오곡밥,밥류,397,82,9,2,4,339,2
오므라이스,밥류,526,77,16,15,3,950,2
우럭회덮밥(양념장),밥류,502,86,26,6,6,480,2
율무밥,밥류,319,69,6,0,0,5,2
잡곡밥,밥류,328,68,8,2,3,2,2
잡곡밥(보리),밥류,411,86,9,2,4,3,2
잡곡밥(보리 흑미),밥류,405,85,9,2,3,3,2
잡곡밥(서리태),밥류,402,82,10,2,4,3,2
김밥(참치),밥류,512,70,21,16,4,700,2
김밥(참치 고추),밥류,476,66,18,15,5,544,2
김밥(참치 김치),밥류,500,62,22,18,4,752,2
김밥(채소),밥류,408,72,14,6,4,612,2
김밥(치즈),밥류,488,75,18,12,4,884,2
김밥(고추),밥류,376,66,13,7,5,608,2
김밥(샐러리),밥류,510,77,11,16,4,1000,2
넙치(광어)회덮밥(양념장),밥류,393,64,22,5,4,434,2
누룽지,밥류,522,115,9,0,6,6,2
돌솥 비빔밥,밥류,581,100,20,10,6,535,2
돌솥 비빔밥(양념장),밥류,473,77,15,11,5,638,2
묵밥,밥류,420,78,16,4,6,558,2
보리밥,밥류,351,76,8,1,5,3,2
볶음밥(계란),밥류,492,79,17,10,4,333,2
볶음밥(김치 돼지고기),밥류,482,82,15,9,4,372,2
볶음밥(돼지고기),밥류,521,82,18,11,3,645,2
볶음밥(배추김치 참치),밥류,536,74,26,13,5,979,2
볶음밥(새우),밥류,504,74,23,11,3,686,2
볶음밥(소고기),밥류,504,81,11,13,3,451,2
커피(카페모카),음료 및 차류,72,10,3,2,0,29,3
커피(카푸치노),음료 및 차류,54,3,3,3,0,33,3
고구마(밤고구마 삶은것),"곡류, 서류 제품",132,30,2,0,3,79,3
팝콘,"곡류, 서류 제품",511,58,8,27,10,500,2
팝콘(카라멜),"곡류, 서류 제품",479,70,6,20,6,105,2
달걀(삶은것),수·조·어·육류,150,1,13,11,0,127,3
달걀(삶은것 노른자),수·조·어·육류,358,1,16,32,0,46,0
달걀(삶은것 흰자),수·조·어·육류,48,0,11,0,0,186,3
대구포,수·조·어·육류,141,2,32,0,1,3876,0
계란 덮밥,밥류,507,82,15,11,2,315,2
곤드레밥,밥류,620,134,11,5,22,45,2
기장밥,밥류,329,70,6,1,2,3,2
김밥(계란),밥류,388,57,17,9,4,596,2
김밥(김치),밥류,436,77,14,7,6,936,2
김밥(날치알),밥류,416,69,17,8,4,1012,2
김밥(돈가스),밥류,592,78,18,23,5,900,2
김밥(멸치 고추),밥류,488,82,22,7,6,1120,2
김밥(샐러드),밥류,468,73,14,13,6,632,2
김밥(소고기),밥류,432,68,16,10,4,668,2
과ㆍ채주스(딸기 바나나),음료 및 차류,54,11,1,1,0,14,3
과ㆍ채주스(사과 당근),음료 및 차류,38,9,0,0,0,15,3
과ㆍ채주스(해독주스 착즙형),음료 및 차류,44,11,0,0,0,11,3
과ㆍ채주스(혼합과일 주스),음료 및 차류,59,13,1,0,0,15,3
라떼(그린티),음료 및 차류,76,10,3,3,0,29,3
라떼(바닐라),음료 및 차류,72,8,3,3,0,34,3
레몬청차,음료 및 차류,60,15,0,0,0,3,3
밀크티(블랙),음료 및 차류,49,5,1,3,0,15,3
밀크티(초콜릿),음료 및 차류,76,10,1,4,1,12,3
밀크티(타로),음료 및 차류,102,12,0,6,0,18,3
밀크티(흑당),음료 및 차류,94,15,2,3,1,55,3
식혜,음료 및 차류,130,24,2,3,0,3,3
액상커피(커피가루 설탕 크림(중량12g)),음료 및 차류,51,10,0,1,0,5,3
액상커피(커피가루 설탕(중량2.7g)),음료 및 차류,17,4,0,0,0,0,3
액상커피(커피가루(중량1g)),음료 및 차류,4,1,0,0,0,0,3
커피(달고나커피),음료 및 차류,111,14,2,5,0,49,3
커피(아메리카노),음료 및 차류,4,1,0,0,0,2,3
커피(카라멜마끼아토),음료 및 차류,81,9,2,4,0,29,3
커피(카페라떼),음료 및 차류,57,3,3,4,0,30,3
